Accuracy,False Negatives,False Positives,Iteration,Negatives,Positives,True Negatives,True Positives
0.5143824027072758,574.0,0.0,0.0,608.0,574.0,608.0,0.0
0.5143824027072758,574.0,0.0,1.0,608.0,574.0,608.0,0.0
0.5598984771573604,517.4,2.8,2.0,608.0,574.0,605.2,56.6
0.5598984771573604,517.4,2.8,3.0,608.0,574.0,605.2,56.6
0.5598984771573604,517.4,2.8,4.0,608.0,574.0,605.2,56.6
0.5598984771573604,517.4,2.8,5.0,608.0,574.0,605.2,56.6
0.5598984771573604,517.4,2.8,6.0,608.0,574.0,605.2,56.6
0.6070219966159052,460.0,4.5,7.0,608.0,574.0,603.5,114.0
0.6070219966159052,460.0,4.5,8.0,608.0,574.0,603.5,114.0
0.6070219966159052,460.0,4.5,9.0,608.0,574.0,603.5,114.0
0.6070219966159052,460.0,4.5,10.0,608.0,574.0,603.5,114.0
0.6070219966159052,460.0,4.5,11.0,608.0,574.0,603.5,114.0
0.6070219966159052,460.0,4.5,12.0,608.0,574.0,603.5,114.0
0.6070219966159052,460.0,4.5,13.0,608.0,574.0,603.5,114.0
0.6070219966159052,460.0,4.5,14.0,608.0,574.0,603.5,114.0
0.6070219966159052,460.0,4.5,15.0,608.0,574.0,603.5,114.0
0.6070219966159052,460.0,4.5,16.0,608.0,574.0,603.5,114.0
0.6070219966159052,460.0,4.5,17.0,608.0,574.0,603.5,114.0
0.6070219966159052,460.0,4.5,18.0,608.0,574.0,603.5,114.0
0.6070219966159052,460.0,4.5,19.0,608.0,574.0,603.5,114.0
0.6070219966159052,460.0,4.5,20.0,608.0,574.0,603.5,114.0
0.6070219966159052,460.0,4.5,21.0,608.0,574.0,603.5,114.0
0.6070219966159052,460.0,4.5,22.0,608.0,574.0,603.5,114.0
0.6548223350253807,403.2,4.8,23.0,608.0,574.0,603.2,170.8
0.6548223350253807,403.2,4.8,24.0,608.0,574.0,603.2,170.8
0.6548223350253807,403.2,4.8,25.0,608.0,574.0,603.2,170.8
0.6548223350253807,403.2,4.8,26.0,608.0,574.0,603.2,170.8
0.6548223350253807,403.2,4.8,27.0,608.0,574.0,603.2,170.8
0.6548223350253807,403.2,4.8,28.0,608.0,574.0,603.2,170.8
0.6548223350253807,403.2,4.8,29.0,608.0,574.0,603.2,170.8
0.6548223350253807,403.2,4.8,30.0,608.0,574.0,603.2,170.8
0.7031302876480542,346.0,4.9,31.0,608.0,574.0,603.1,228.0
0.7506768189509306,288.6,6.1,32.0,608.0,574.0,601.9,285.4
0.7506768189509306,288.6,6.1,33.0,608.0,574.0,601.9,285.4
0.7506768189509306,288.6,6.1,34.0,608.0,574.0,601.9,285.4
0.798477157360406,231.6,6.6,35.0,608.0,574.0,601.4,342.4
0.8469543147208121,174.2,6.7,36.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,37.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,38.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,39.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,40.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,41.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,42.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,43.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,44.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,45.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,46.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,47.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,48.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,49.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,50.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,51.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,52.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,53.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,54.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,55.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,56.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,57.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,58.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,59.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,60.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,61.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,62.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,63.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,64.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,65.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,66.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,67.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,68.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,69.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,70.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,71.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,72.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,73.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,74.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,75.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,76.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,77.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,78.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,79.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,80.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,81.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,82.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,83.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,84.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,85.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,86.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,87.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,88.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,89.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,90.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,91.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,92.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,93.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,94.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,95.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,96.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,97.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,98.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,99.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,100.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,101.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,102.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,103.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,104.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,105.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,106.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,107.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,108.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,109.0,608.0,574.0,601.3,399.8
0.8469543147208121,174.2,6.7,110.0,608.0,574.0,601.3,399.8
