Accuracy,False Negatives,False Positives,Iteration,True Negatives,True Positives
0.9982381959126144,3.0,2.0,89.0,1417.0,1416.0
0.9982381959126144,3.0,2.0,90.0,1417.0,1416.0
0.9982381959126144,3.0,2.0,91.0,1417.0,1416.0
0.9982381959126144,3.0,2.0,92.0,1417.0,1416.0
0.9982381959126144,3.0,2.0,93.0,1417.0,1416.0
0.9982381959126144,3.0,2.0,94.0,1417.0,1416.0
0.9982381959126144,3.0,2.0,95.0,1417.0,1416.0
0.9982381959126144,3.0,2.0,96.0,1417.0,1416.0
0.9982381959126144,3.0,2.0,97.0,1417.0,1416.0
0.9982381959126144,3.0,2.0,98.0,1417.0,1416.0
0.9982381959126144,3.0,2.0,99.0,1417.0,1416.0
0.9982381959126144,3.0,2.0,100.0,1417.0,1416.0
0.9982381959126144,3.0,2.0,101.0,1417.0,1416.0
0.9982381959126144,3.0,2.0,102.0,1417.0,1416.0
0.9982381959126144,3.0,2.0,103.0,1417.0,1416.0
0.9982381959126144,3.0,2.0,104.0,1417.0,1416.0
0.9982381959126144,3.0,2.0,105.0,1417.0,1416.0
0.9982381959126144,3.0,2.0,106.0,1417.0,1416.0
0.9982381959126144,3.0,2.0,107.0,1417.0,1416.0
0.9982381959126144,3.0,2.0,108.0,1417.0,1416.0
0.9982381959126144,3.0,2.0,109.0,1417.0,1416.0
0.9982381959126144,3.0,2.0,110.0,1417.0,1416.0
0.9982381959126144,3.0,2.0,111.0,1417.0,1416.0
0.9982381959126144,3.0,2.0,112.0,1417.0,1416.0
0.9982381959126144,3.0,2.0,113.0,1417.0,1416.0
0.9982381959126144,3.0,2.0,114.0,1417.0,1416.0
0.9982381959126144,3.0,2.0,115.0,1417.0,1416.0
0.9982381959126144,3.0,2.0,116.0,1417.0,1416.0
0.9982381959126144,3.0,2.0,117.0,1417.0,1416.0
0.9982381959126144,3.0,2.0,118.0,1417.0,1416.0
0.9982381959126144,3.0,2.0,119.0,1417.0,1416.0
0.9982381959126144,3.0,2.0,120.0,1417.0,1416.0
0.9982381959126144,3.0,2.0,121.0,1417.0,1416.0
0.9982381959126144,3.0,2.0,122.0,1417.0,1416.0
0.9982381959126144,3.0,2.0,123.0,1417.0,1416.0
0.9982381959126144,3.0,2.0,124.0,1417.0,1416.0
0.9982381959126144,3.0,2.0,125.0,1417.0,1416.0
0.9982381959126144,3.0,2.0,126.0,1417.0,1416.0
0.9982381959126144,3.0,2.0,127.0,1417.0,1416.0
0.9982381959126144,3.0,2.0,128.0,1417.0,1416.0
0.9982381959126144,3.0,2.0,129.0,1417.0,1416.0
0.9983262861169837,2.25,2.5,130.0,1416.5,1416.75
0.9983262861169837,2.25,2.5,131.0,1416.5,1416.75
0.9983262861169837,2.25,2.5,132.0,1416.5,1416.75
0.9983262861169837,2.25,2.5,133.0,1416.5,1416.75
0.9983262861169837,2.25,2.5,134.0,1416.5,1416.75
0.9983262861169837,2.25,2.5,135.0,1416.5,1416.75
0.9983262861169837,2.25,2.5,136.0,1416.5,1416.75
0.9983262861169837,2.25,2.5,137.0,1416.5,1416.75
0.9983262861169837,2.25,2.5,138.0,1416.5,1416.75
0.9983262861169837,2.25,2.5,139.0,1416.5,1416.75
0.9983262861169837,2.25,2.5,140.0,1416.5,1416.75
0.9983262861169837,2.25,2.5,141.0,1416.5,1416.75
0.9983262861169837,2.25,2.5,142.0,1416.5,1416.75
0.9983262861169837,2.25,2.5,143.0,1416.5,1416.75
0.9983262861169837,2.25,2.5,144.0,1416.5,1416.75
0.9983262861169837,2.25,2.5,145.0,1416.5,1416.75
0.9983262861169837,2.25,2.5,146.0,1416.5,1416.75
0.9983262861169837,2.25,2.5,147.0,1416.5,1416.75
0.9983262861169837,2.25,2.5,148.0,1416.5,1416.75
0.9983262861169837,2.25,2.5,149.0,1416.5,1416.75
0.9983262861169837,2.25,2.5,150.0,1416.5,1416.75
0.9983262861169837,2.25,2.5,151.0,1416.5,1416.75
0.9983262861169837,2.25,2.5,152.0,1416.5,1416.75
0.9983262861169837,2.25,2.5,153.0,1416.5,1416.75
0.9983262861169837,2.25,2.5,154.0,1416.5,1416.75
0.998414376321353,2.0,2.5,155.0,1416.5,1417.0
0.998414376321353,2.0,2.5,156.0,1416.5,1417.0
0.998414376321353,2.0,2.5,157.0,1416.5,1417.0
0.998414376321353,2.0,2.5,158.0,1416.5,1417.0
0.998414376321353,2.0,2.5,159.0,1416.5,1417.0
0.998414376321353,2.0,2.5,160.0,1416.5,1417.0
0.998414376321353,2.0,2.5,161.0,1416.5,1417.0
0.998414376321353,2.0,2.5,162.0,1416.5,1417.0
0.998414376321353,2.0,2.5,163.0,1416.5,1417.0
0.998414376321353,2.0,2.5,164.0,1416.5,1417.0
0.998414376321353,2.0,2.5,165.0,1416.5,1417.0
0.998414376321353,2.0,2.5,166.0,1416.5,1417.0
0.998414376321353,2.0,2.5,167.0,1416.5,1417.0
0.998414376321353,2.0,2.5,168.0,1416.5,1417.0
0.998414376321353,2.0,2.5,169.0,1416.5,1417.0
0.998414376321353,2.0,2.5,170.0,1416.5,1417.0
0.998414376321353,2.0,2.5,171.0,1416.5,1417.0
0.998414376321353,2.0,2.5,172.0,1416.5,1417.0
0.998414376321353,2.0,2.5,173.0,1416.5,1417.0
0.998414376321353,2.0,2.5,174.0,1416.5,1417.0
0.998414376321353,2.0,2.5,175.0,1416.5,1417.0
0.998414376321353,2.0,2.5,176.0,1416.5,1417.0
0.998414376321353,2.0,2.5,177.0,1416.5,1417.0
0.998414376321353,2.0,2.5,178.0,1416.5,1417.0
0.998414376321353,2.0,2.5,179.0,1416.5,1417.0
0.998414376321353,2.0,2.5,180.0,1416.5,1417.0
0.998414376321353,2.0,2.5,181.0,1416.5,1417.0
0.998414376321353,2.0,2.5,182.0,1416.5,1417.0
0.998414376321353,2.0,2.5,183.0,1416.5,1417.0
0.998414376321353,2.0,2.5,184.0,1416.5,1417.0
0.998414376321353,2.0,2.5,185.0,1416.5,1417.0
0.998414376321353,2.0,2.5,186.0,1416.5,1417.0
0.998414376321353,2.0,2.5,187.0,1416.5,1417.0
0.998414376321353,2.0,2.5,188.0,1416.5,1417.0
0.998414376321353,2.0,2.5,189.0,1416.5,1417.0
0.998414376321353,2.0,2.5,190.0,1416.5,1417.0
